store_id,store_name,city,store_type
95,Hall-Nelson,Tonyachester,Mall
96,"Bradley, Fuller and Hernandez",Joneshaven,Mall
97,Shepard-Gutierrez,North Nicole,Mall
98,Collier Ltd,Audreyborough,Mall
99,"Robinson, Young and Frederick",West Kaylahaven,Mall
100,Walsh PLC,Port Darrellburgh,Online
101,Yu-Jackson,Michaelberg,Online
102,Cox Inc,Paulton,Standalone
103,Anderson Group,Robinsonberg,Online
104,"Cervantes, Moreno and Nichols",Villarrealton,Online
105,Munoz-Roberts,Wrightfort,Mall
106,Baker LLC,East Christopher,Mall
107,Harris-Vazquez,East Charles,Online
108,"Richardson, Moreno and Williams",Lake Kevinport,Mall
109,"Archer, Hill and Lewis",South Nicholasbury,Standalone
110,"Barr, Mckee and Chen",Smithborough,Standalone
111,"Boyer, Murphy and Martin",Charleneberg,Online
112,Jones Group,Stephensonport,Online
113,Mcdaniel-Thomas,New Janet,Standalone
114,"Morris, Bush and Jenkins",South Jillport,Standalone
115,Harris and Sons,North Alexandraside,Online
116,Bennett-Macdonald,Garciahaven,Standalone
117,"Weber, Riggs and Little",Jordanfurt,Online
118,"Wiley, Harris and Ramsey",Boydhaven,Standalone
119,Fisher-Warren,West Mary,Standalone
120,Mack-Marshall,Johnbury,Mall
121,"Baker, Chavez and Logan",Riversborough,Online
122,"Mitchell, Garcia and Pena",South Elizabeth,Mall
123,Spencer Group,Rosemouth,Mall
124,"Molina, Ho and Benjamin",Port Benjamin,Online
125,Pittman Group,Cherylshire,Mall
126,"Boyd, Fuentes and Cameron",Edwardsfurt,Online
127,"Schmidt, Bennett and Flowers",Lake Matthewchester,Online
128,Costa LLC,South Natalieport,Mall
129,Cabrera-Gilmore,Lake Tonyaland,Mall
130,Miller and Sons,Port Michael,Standalone
131,Ward-Horn,New Jaychester,Standalone
132,Olsen-Johnson,New Linda,Mall
133,Murphy-Gonzalez,Kimberlytown,Mall
134,Brown-Taylor,Matthewton,Online
135,Davis-Garcia,Darrenville,Online
136,Mcdaniel Group,Brianaland,Online
137,Thomas and Sons,Ashleyberg,Mall
138,Garcia Inc,Carrollchester,Standalone
139,Walker-Wells,Juanton,Standalone
140,"Rodriguez, Beltran and Gonzalez",Robertshaven,Standalone
141,Bridges PLC,Lake Moniquestad,Mall
142,Kaiser-Johnson,West Annaport,Standalone
143,Wilson Ltd,East Samanthaland,Standalone
144,"Jennings, Larsen and Aguirre",Lake Jamiemouth,Online
145,"Flowers, Gray and Rice",South Anne,Standalone
146,Norris-Obrien,East Jessica,Online
147,Phillips-Thomas,Campbellmouth,Mall
148,Williams-Rodriguez,Lake Jasonfurt,Standalone
149,Graves-Boyer,New Joshua,Online
150,"Hayes, Snyder and Pace",Port Kaylee,Mall
