promotion_id,promo_name,discount_pct,start_date,end_date
53,Object-based tangible moratorium,10,2026-01-13,2026-03-26
54,Monitored holistic forecast,15,2026-01-13,2026-01-22
55,Re-engineered full-range alliance,30,2026-01-13,2026-03-11
56,Advanced asynchronous support,20,2026-01-13,2026-03-19
57,Object-based web-enabled database,5,2026-01-13,2026-03-01
58,Polarized empowering info-mediaries,20,2026-01-13,2026-03-16
59,Future-proofed dedicated collaboration,20,2026-01-13,2026-01-26
60,User-centric incremental framework,20,2026-01-13,2026-02-06
61,Enterprise-wide grid-enabled adapter,30,2026-01-13,2026-01-22
62,Synergized demand-driven data-warehouse,5,2026-01-13,2026-02-02
63,Devolved bi-directional website,20,2026-01-13,2026-01-27
64,Vision-oriented demand-driven collaboration,5,2026-01-13,2026-02-04
65,Organic disintermediate budgetary management,30,2026-01-13,2026-02-08
66,Function-based client-driven help-desk,20,2026-01-13,2026-02-12
67,Diverse mission-critical core,30,2026-01-13,2026-03-01
68,Compatible intangible moratorium,15,2026-01-13,2026-02-10
69,Visionary needs-based encoding,5,2026-01-13,2026-01-22
70,Pre-emptive contextually-based monitoring,10,2026-01-13,2026-02-12
71,Enterprise-wide homogeneous installation,10,2026-01-13,2026-02-18
72,Assimilated didactic support,15,2026-01-13,2026-01-30
73,Extended clear-thinking Local Area Network,15,2026-01-13,2026-03-28
74,Business-focused local orchestration,20,2026-01-13,2026-04-07
75,Fundamental even-keeled Internet solution,30,2026-01-13,2026-03-16
76,Optimized real-time project,5,2026-01-13,2026-02-27
77,Synchronized multi-state open system,20,2026-01-13,2026-03-16
78,Implemented modular website,5,2026-01-13,2026-03-31
79,Inverse heuristic artificial intelligence,15,2026-01-13,2026-03-26
80,Implemented zero-defect implementation,15,2026-01-13,2026-04-12
81,Horizontal system-worthy software,15,2026-01-13,2026-02-13
82,Mandatory web-enabled concept,10,2026-01-13,2026-04-07
83,Automated client-driven capability,10,2026-01-13,2026-03-22
84,Intuitive actuating knowledge user,20,2026-01-13,2026-03-17
85,Front-line scalable Internet solution,30,2026-01-13,2026-02-19
86,Quality-focused methodical methodology,30,2026-01-13,2026-03-25
87,Versatile interactive product,30,2026-01-13,2026-02-24
88,Implemented coherent model,20,2026-01-13,2026-04-12
89,Stand-alone discrete circuit,30,2026-01-13,2026-02-24
90,Organized tertiary database,5,2026-01-13,2026-04-07
91,Assimilated 24/7 alliance,15,2026-01-13,2026-03-08
92,Persevering system-worthy adapter,20,2026-01-13,2026-01-20
93,Programmable motivating moderator,20,2026-01-13,2026-01-26
94,Profit-focused holistic encoding,10,2026-01-13,2026-02-16
95,Open-source user-facing process improvement,5,2026-01-13,2026-04-11
96,Front-line optimal methodology,15,2026-01-13,2026-04-01
97,Cloned 24/7 budgetary management,5,2026-01-13,2026-03-23
98,Switchable interactive protocol,20,2026-01-13,2026-03-11
99,Versatile high-level conglomeration,5,2026-01-13,2026-03-07
100,Inverse motivating core,10,2026-01-13,2026-03-08
101,User-friendly zero tolerance system engine,5,2026-01-13,2026-04-09
102,Fully-configurable modular project,30,2026-01-13,2026-02-02
103,Ameliorated zero tolerance instruction set,20,2026-01-13,2026-01-28
104,Managed needs-based data-warehouse,10,2026-01-13,2026-02-11
105,Proactive uniform neural-net,10,2026-01-13,2026-03-14
106,Sharable executive ability,30,2026-01-13,2026-04-12
107,Enhanced well-modulated intranet,30,2026-01-13,2026-03-12
108,Extended stable hub,5,2026-01-13,2026-02-25
109,Seamless directional infrastructure,20,2026-01-13,2026-03-10
110,Grass-roots actuating superstructure,5,2026-01-13,2026-02-01
111,Assimilated modular data-warehouse,5,2026-01-13,2026-02-19
112,Implemented tertiary throughput,20,2026-01-13,2026-03-08
113,Function-based solution-oriented benchmark,30,2026-01-13,2026-03-28
114,Vision-oriented dynamic data-warehouse,15,2026-01-13,2026-01-29
115,Assimilated eco-centric projection,5,2026-01-13,2026-02-24
116,Inverse regional emulation,20,2026-01-13,2026-04-10
117,Visionary next generation access,30,2026-01-13,2026-03-25
118,Up-sized optimizing array,30,2026-01-13,2026-04-11
119,Sharable user-facing Graphic Interface,30,2026-01-13,2026-03-31
120,Synchronized tertiary architecture,10,2026-01-13,2026-04-02
121,Centralized empowering frame,10,2026-01-13,2026-02-22
122,Compatible responsive pricing structure,30,2026-01-13,2026-02-26
123,Enterprise-wide neutral system engine,30,2026-01-13,2026-02-28
124,Mandatory even-keeled task-force,15,2026-01-13,2026-01-21
125,Profound upward-trending migration,5,2026-01-13,2026-03-30
126,Open-architected contextually-based leverage,30,2026-01-13,2026-02-08
127,Expanded radical software,30,2026-01-13,2026-02-13
128,Devolved intermediate solution,5,2026-01-13,2026-02-24
129,Pre-emptive attitude-oriented moratorium,15,2026-01-13,2026-03-24
130,Team-oriented upward-trending policy,15,2026-01-13,2026-03-17
131,Customizable intangible policy,10,2026-01-13,2026-03-23
132,Multi-channeled mobile knowledge user,10,2026-01-13,2026-04-05
133,Versatile local architecture,20,2026-01-13,2026-03-15
134,Profit-focused high-level open architecture,30,2026-01-13,2026-03-29
135,Down-sized real-time framework,10,2026-01-13,2026-03-07
136,Polarized impactful strategy,5,2026-01-13,2026-03-06
137,Stand-alone system-worthy extranet,5,2026-01-13,2026-04-07
138,Seamless global workforce,10,2026-01-13,2026-04-08
139,User-centric 5thgeneration infrastructure,5,2026-01-13,2026-04-09
140,Enterprise-wide context-sensitive framework,20,2026-01-13,2026-02-01
141,Quality-focused system-worthy open system,15,2026-01-13,2026-01-23
142,Focused neutral architecture,5,2026-01-13,2026-03-09
143,Object-based 24/7 open system,20,2026-01-13,2026-03-09
144,Virtual transitional strategy,10,2026-01-13,2026-03-08
145,Mandatory cohesive open architecture,20,2026-01-13,2026-02-06
146,Devolved even-keeled complexity,10,2026-01-13,2026-03-13
147,Progressive fault-tolerant website,5,2026-01-13,2026-04-05
148,Compatible modular capacity,20,2026-01-13,2026-02-04
149,Team-oriented analyzing alliance,10,2026-01-13,2026-02-17
150,Self-enabling grid-enabled policy,30,2026-01-13,2026-03-07
